start,end,elapsed
2025-08-28T17:59:57,2025-08-28T18:00:02,5.831264019012451
2025-08-28T18:00:03,2025-08-28T18:00:09,6.069694995880127
2025-08-28T18:00:09,2025-08-28T18:00:15,5.9413487911224365
2025-08-28T18:00:15,2025-08-28T18:00:21,5.89388108253479
2025-08-28T18:00:22,2025-08-28T18:00:28,6.414421796798706
2025-08-28T18:00:28,2025-08-28T18:00:34,6.189839839935303
2025-08-28T18:00:35,2025-08-28T18:00:40,5.758519172668457
2025-08-28T18:00:41,2025-08-28T18:00:47,6.15351414680481
2025-08-28T18:00:47,2025-08-28T18:00:54,6.415974855422974
2025-08-28T18:00:54,2025-08-28T18:01:00,6.22551703453064
2025-08-28T18:01:00,2025-08-28T18:01:07,6.202554941177368
2025-08-28T18:01:07,2025-08-28T18:01:13,5.584596872329712
2025-08-28T18:01:13,2025-08-28T18:01:19,6.056220054626465
2025-08-28T18:01:19,2025-08-28T18:01:25,6.102867841720581
2025-08-28T18:01:26,2025-08-28T18:01:32,6.187022924423218
2025-08-28T18:01:32,2025-08-28T18:01:38,6.368885040283203
2025-08-28T18:01:39,2025-08-28T18:01:45,6.304894924163818
2025-08-28T18:01:45,2025-08-28T18:01:52,6.3695619106292725
2025-08-28T18:01:52,2025-08-28T18:01:58,5.580897092819214
2025-08-28T18:01:58,2025-08-28T18:02:04,5.757811069488525
2025-08-28T18:02:04,2025-08-28T18:02:10,6.141694068908691
2025-08-28T18:02:10,2025-08-28T18:02:16,5.805560827255249
2025-08-28T18:02:16,2025-08-28T18:02:22,5.784281015396118
2025-08-28T18:02:22,2025-08-28T18:02:29,6.086803913116455
2025-08-28T18:02:29,2025-08-28T18:02:35,6.2638840675354
2025-08-28T18:02:35,2025-08-28T18:02:41,5.999283075332642
2025-08-28T18:02:42,2025-08-28T18:02:48,5.773799896240234
2025-08-28T18:02:48,2025-08-28T18:02:54,5.760132074356079
2025-08-28T18:02:54,2025-08-28T18:03:00,6.062528133392334
2025-08-28T18:03:00,2025-08-28T18:03:06,6.215284824371338
2025-08-28T18:03:07,2025-08-28T18:03:13,5.887102127075195
2025-08-28T18:03:13,2025-08-28T18:03:19,5.62299394607544
2025-08-28T18:03:19,2025-08-28T18:03:25,6.012010097503662
2025-08-28T18:03:25,2025-08-28T18:03:31,5.887542009353638
2025-08-28T18:03:31,2025-08-28T18:03:37,5.754539966583252
2025-08-28T18:03:38,2025-08-28T18:03:43,5.861255884170532
2025-08-28T18:03:44,2025-08-28T18:03:50,5.854059934616089
2025-08-28T18:03:50,2025-08-28T18:03:56,5.9639060497283936
2025-08-28T18:03:56,2025-08-28T18:04:02,5.977413177490234
2025-08-28T18:04:02,2025-08-28T18:04:08,5.767429828643799
2025-08-28T18:04:08,2025-08-28T18:04:14,5.811333894729614
2025-08-28T18:04:15,2025-08-28T18:04:21,6.081475019454956
2025-08-28T18:04:21,2025-08-28T18:04:27,6.21993088722229
2025-08-28T18:04:27,2025-08-28T18:04:34,6.152050018310547
2025-08-28T18:04:34,2025-08-28T18:04:40,5.875935077667236
2025-08-28T18:04:40,2025-08-28T18:04:46,6.144788980484009
2025-08-28T18:04:47,2025-08-28T18:04:52,5.5519068241119385
