start,end,elapsed
2025-08-29T11:01:29,2025-08-29T11:01:32,2.4665720462799072
2025-08-29T11:01:38,2025-08-29T11:01:41,2.46187710762024
2025-08-29T11:01:48,2025-08-29T11:01:50,2.498719930648804
2025-08-29T11:01:57,2025-08-29T11:02:00,2.362438917160034
2025-08-29T11:02:07,2025-08-29T11:02:09,2.469913959503174
2025-08-29T11:02:16,2025-08-29T11:02:19,2.483351945877075
2025-08-29T11:02:26,2025-08-29T11:02:28,2.5112550258636475
2025-08-29T11:02:36,2025-08-29T11:02:38,2.4086859226226807
2025-08-29T11:02:45,2025-08-29T11:02:47,2.4059898853302
2025-08-29T11:02:54,2025-08-29T11:02:56,2.4379091262817383
2025-08-29T11:03:03,2025-08-29T11:03:05,2.378411054611206
2025-08-29T11:03:12,2025-08-29T11:03:14,2.328893184661865
2025-08-29T11:03:21,2025-08-29T11:03:23,2.3404030799865723
2025-08-29T11:03:30,2025-08-29T11:03:33,2.3981621265411377
2025-08-29T11:03:39,2025-08-29T11:03:42,2.5866029262542725
2025-08-29T11:03:49,2025-08-29T11:03:51,2.608797073364258
2025-08-29T11:03:59,2025-08-29T11:04:02,2.556243896484375
2025-08-29T11:04:09,2025-08-29T11:04:11,2.5070719718933105
2025-08-29T11:04:18,2025-08-29T11:04:21,2.612398862838745
2025-08-29T11:04:28,2025-08-29T11:04:30,2.5468239784240723
2025-08-29T11:04:37,2025-08-29T11:04:40,2.4304840564727783
2025-08-29T11:04:47,2025-08-29T11:04:49,2.395366907119751
2025-08-29T11:04:56,2025-08-29T11:04:58,2.511672019958496
2025-08-29T11:05:05,2025-08-29T11:05:08,2.513510227203369
2025-08-29T11:05:15,2025-08-29T11:05:17,2.5279769897460938
2025-08-29T11:05:25,2025-08-29T11:05:27,2.486994981765747
2025-08-29T11:05:34,2025-08-29T11:05:37,2.5026309490203857
2025-08-29T11:05:44,2025-08-29T11:05:46,2.480907917022705
2025-08-29T11:05:54,2025-08-29T11:05:57,2.7272660732269287
2025-08-29T11:06:04,2025-08-29T11:06:06,2.451735019683838
