start,end,elapsed
2025-08-12T14:41:15,2025-08-12T14:41:26,10.93774700164795
2025-08-12T14:42:43,2025-08-12T14:42:54,10.736823081970217
2025-08-12T14:44:13,2025-08-12T14:44:23,10.890283823013306
2025-08-12T14:45:44,2025-08-12T14:45:55,11.068164110183716
2025-08-12T14:47:13,2025-08-12T14:47:23,10.897929906845093
2025-08-12T14:48:44,2025-08-12T14:48:55,10.807054042816162
2025-08-12T14:50:15,2025-08-12T14:50:26,10.931112051010132
2025-08-12T14:51:46,2025-08-12T14:51:57,10.92887020111084
2025-08-12T14:53:16,2025-08-12T14:53:27,10.839383125305176
2025-08-12T14:54:48,2025-08-12T14:54:59,10.952069997787476
2025-08-12T14:56:17,2025-08-12T14:56:28,11.030317068099976
2025-08-12T14:57:49,2025-08-12T14:58:00,10.922297954559326
2025-08-12T14:59:21,2025-08-12T14:59:32,10.722754001617432
2025-08-12T15:00:51,2025-08-12T15:01:02,10.850721836090088
2025-08-12T15:02:24,2025-08-12T15:02:35,10.844935894012451
2025-08-12T15:03:54,2025-08-12T15:04:05,10.83383321762085
2025-08-12T15:05:25,2025-08-12T15:05:35,10.96259593963623
2025-08-12T15:06:57,2025-08-12T15:07:08,10.965900182724
2025-08-12T15:08:26,2025-08-12T15:08:37,10.802268981933594
2025-08-12T15:09:58,2025-08-12T15:10:09,10.845984935760498
2025-08-12T15:11:27,2025-08-12T15:11:37,10.886862993240356
2025-08-12T15:12:56,2025-08-12T15:13:07,10.945562839508057
2025-08-12T15:14:28,2025-08-12T15:14:39,10.789882898330688
2025-08-12T15:15:57,2025-08-12T15:16:08,11.027899980545044
2025-08-12T15:17:27,2025-08-12T15:17:38,11.029879093170166
2025-08-12T15:18:59,2025-08-12T15:19:10,11.073580026626589
2025-08-12T15:20:29,2025-08-12T15:20:40,10.902875185012816
2025-08-12T15:21:56,2025-08-12T15:22:07,10.937099933624268
2025-08-12T15:23:23,2025-08-12T15:23:34,10.959391832351685
2025-08-12T15:24:51,2025-08-12T15:25:02,10.810998916625977
2025-08-12T15:26:19,2025-08-12T15:26:30,10.812630891799929
2025-08-12T15:27:47,2025-08-12T15:27:58,10.794091939926147
2025-08-12T15:29:19,2025-08-12T15:29:30,10.932517051696776
2025-08-12T15:30:49,2025-08-12T15:30:59,10.689570903778076
2025-08-12T15:32:17,2025-08-12T15:32:29,11.035059928894045
2025-08-12T15:33:50,2025-08-12T15:34:01,10.723145008087158
2025-08-12T15:35:22,2025-08-12T15:35:33,10.8510320186615
2025-08-12T15:36:52,2025-08-12T15:37:03,11.142534971237184
2025-08-12T15:38:20,2025-08-12T15:38:31,11.001632928848268
2025-08-12T15:39:48,2025-08-12T15:39:59,10.912106990814207
2025-08-12T15:41:17,2025-08-12T15:41:28,11.137102127075195
2025-08-12T15:42:49,2025-08-12T15:43:00,10.913330078125
2025-08-12T15:44:19,2025-08-12T15:44:30,10.80840802192688
2025-08-12T15:45:47,2025-08-12T15:45:58,10.97805881500244
2025-08-12T15:47:14,2025-08-12T15:47:24,10.691340923309326
2025-08-12T15:48:41,2025-08-12T15:48:52,11.349056005477903
2025-08-12T15:50:14,2025-08-12T15:50:25,10.854115962982178
2025-08-12T15:51:45,2025-08-12T15:51:56,10.753372192382812
2025-08-12T15:53:14,2025-08-12T15:53:25,10.806599855422974
2025-08-12T15:54:42,2025-08-12T15:54:53,10.997488975524902
2025-08-12T15:56:11,2025-08-12T15:56:22,10.976829051971436
2025-08-12T15:57:41,2025-08-12T15:57:52,10.95294713973999
2025-08-12T15:59:08,2025-08-12T15:59:19,11.035592079162598
2025-08-12T16:00:38,2025-08-12T16:00:49,10.90037202835083
2025-08-12T16:02:07,2025-08-12T16:02:18,10.962772130966188
2025-08-12T16:03:36,2025-08-12T16:03:47,11.08884596824646
2025-08-12T16:05:06,2025-08-12T16:05:17,11.117578983306885
2025-08-12T16:06:36,2025-08-12T16:06:47,11.10071301460266
2025-08-12T16:08:05,2025-08-12T16:08:15,10.673948049545288
2025-08-12T16:09:36,2025-08-12T16:09:47,10.997509956359863
2025-08-12T16:11:09,2025-08-12T16:11:20,10.8589289188385
2025-08-12T16:12:39,2025-08-12T16:12:50,10.873742818832396
2025-08-12T16:14:10,2025-08-12T16:14:21,10.957993030548096
2025-08-12T16:15:39,2025-08-12T16:15:50,10.979898929595947
2025-08-12T16:17:09,2025-08-12T16:17:20,11.112536191940308
2025-08-12T16:18:41,2025-08-12T16:18:52,10.823868989944458
2025-08-12T16:20:09,2025-08-12T16:20:20,10.90344500541687
2025-08-12T16:21:37,2025-08-12T16:21:48,11.073902130126951
2025-08-12T16:23:09,2025-08-12T16:23:20,10.711887121200562
2025-08-12T16:24:37,2025-08-12T16:24:48,10.938930034637451
2025-08-12T16:26:05,2025-08-12T16:26:16,11.1020770072937
2025-08-12T16:27:36,2025-08-12T16:27:47,10.9758939743042
2025-08-12T16:29:10,2025-08-12T16:29:21,11.012332201004028
2025-08-12T16:30:38,2025-08-12T16:30:49,11.060450077056885
2025-08-25T10:51:25,2025-08-25T10:51:36,10.916214942932127
2025-08-25T10:52:53,2025-08-25T10:53:04,10.689076900482178
2025-08-25T10:54:19,2025-08-25T10:54:29,10.768265008926392
2025-08-25T10:55:46,2025-08-25T10:55:57,10.812785148620604
2025-08-25T10:57:14,2025-08-25T10:57:25,10.720767974853516
2025-08-25T10:58:41,2025-08-25T10:58:52,10.901800870895386
2025-08-25T11:00:11,2025-08-25T11:00:21,10.81185793876648
2025-08-25T11:01:38,2025-08-25T11:01:49,10.783992052078249
2025-08-25T11:03:04,2025-08-25T11:03:15,10.76946210861206
2025-08-25T11:04:33,2025-08-25T11:04:44,10.617715120315552
2025-08-25T11:06:02,2025-08-25T11:06:13,10.86898708343506
2025-08-25T11:07:30,2025-08-25T11:07:41,10.691118001937866
2025-08-25T11:08:56,2025-08-25T11:09:07,10.752340078353882
