start,end,elapsed
2025-08-27T11:20:56,2025-08-27T11:20:59,3.6645119190216064
2025-08-27T11:21:16,2025-08-27T11:21:19,3.456902980804444
2025-08-27T11:21:35,2025-08-27T11:21:39,3.5113911628723145
2025-08-27T11:21:55,2025-08-27T11:21:59,3.688279867172241
2025-08-27T11:22:15,2025-08-27T11:22:19,3.624576091766357
2025-08-27T11:22:35,2025-08-27T11:22:39,3.6362688541412354
2025-08-27T11:22:55,2025-08-27T11:22:59,3.5107150077819824
2025-08-27T11:23:15,2025-08-27T11:23:18,3.7403910160064697
2025-08-27T11:23:35,2025-08-27T11:23:39,3.710146903991699
2025-08-27T11:23:55,2025-08-27T11:23:59,3.521960973739624
2025-08-27T11:24:15,2025-08-27T11:24:18,3.509981870651245
2025-08-27T11:24:34,2025-08-27T11:24:38,3.6905338764190674
2025-08-27T11:24:55,2025-08-27T11:24:58,3.571595907211304
2025-08-27T11:25:15,2025-08-27T11:25:18,3.689175128936768
2025-08-27T11:25:34,2025-08-27T11:25:38,3.734456062316896
2025-08-27T11:25:55,2025-08-27T11:25:58,3.552520990371704
2025-08-27T11:26:15,2025-08-27T11:26:18,3.674600124359131
2025-08-27T11:26:35,2025-08-27T11:26:39,3.7278079986572266
2025-08-27T11:26:55,2025-08-27T11:26:59,3.677946090698242
2025-08-27T11:27:15,2025-08-27T11:27:19,3.5716440677642822
2025-08-27T11:27:36,2025-08-27T11:27:39,3.541276931762696
2025-08-27T11:27:56,2025-08-27T11:27:59,3.5203871726989746
2025-08-27T11:28:16,2025-08-27T11:28:20,3.7513701915740967
2025-08-27T11:28:35,2025-08-27T11:28:39,3.56435489654541
2025-08-27T11:28:55,2025-08-27T11:28:59,3.5616769790649414
2025-08-27T11:29:14,2025-08-27T11:29:18,3.615736961364746
2025-08-27T11:29:34,2025-08-27T11:29:37,3.5641651153564453
2025-08-27T11:29:53,2025-08-27T11:29:57,3.658947944641113
2025-08-27T11:30:13,2025-08-27T11:30:17,3.592761993408203
2025-08-27T11:30:33,2025-08-27T11:30:37,3.5158791542053223
2025-08-27T11:30:52,2025-08-27T11:30:56,3.541248083114624
2025-08-27T11:31:11,2025-08-27T11:31:15,3.553983926773072
2025-08-27T11:31:31,2025-08-27T11:31:34,3.436028003692627
2025-08-27T11:31:51,2025-08-27T11:31:54,3.572902202606201
2025-08-27T11:32:10,2025-08-27T11:32:14,3.5757949352264404
2025-08-27T11:32:30,2025-08-27T11:32:34,3.71108078956604
2025-08-27T11:32:51,2025-08-27T11:32:55,3.5657808780670166
2025-08-27T11:33:11,2025-08-27T11:33:15,3.6265130043029785
2025-08-27T11:33:31,2025-08-27T11:33:35,3.6301169395446777
2025-08-27T11:33:51,2025-08-27T11:33:55,3.5666449069976807
2025-08-27T11:34:11,2025-08-27T11:34:15,3.5526161193847656
2025-08-27T11:34:31,2025-08-27T11:34:35,3.55385684967041
2025-08-27T11:34:51,2025-08-27T11:34:55,3.8033699989318848
2025-08-27T11:35:12,2025-08-27T11:35:15,3.508601188659668
2025-08-27T11:35:32,2025-08-27T11:35:35,3.5582449436187744
2025-08-27T11:35:52,2025-08-27T11:35:56,3.525896072387696
2025-08-27T11:36:12,2025-08-27T11:36:16,3.501713991165161
2025-08-27T11:36:32,2025-08-27T11:36:36,3.643233060836792
2025-08-27T11:36:53,2025-08-27T11:36:56,3.6459550857543945
2025-08-27T11:37:13,2025-08-27T11:37:17,3.5710129737854004
2025-08-27T11:37:32,2025-08-27T11:37:36,3.4801130294799805
2025-08-27T11:37:53,2025-08-27T11:37:56,3.574079990386963
2025-08-27T11:38:13,2025-08-27T11:38:17,3.670776128768921
2025-08-27T11:38:33,2025-08-27T11:38:37,3.607063055038452
2025-08-27T11:38:53,2025-08-27T11:38:57,3.758688926696777
2025-08-27T11:39:14,2025-08-27T11:39:17,3.6574690341949454
2025-08-27T11:39:34,2025-08-27T11:39:38,3.7460858821868896
2025-08-27T11:39:54,2025-08-27T11:39:58,3.751018047332764
2025-08-27T11:40:14,2025-08-27T11:40:17,3.632376909255981
2025-08-27T11:40:34,2025-08-27T11:40:37,3.582479953765869
2025-08-27T11:40:54,2025-08-27T11:40:57,3.623505115509033
2025-08-27T11:41:13,2025-08-27T11:41:16,3.565920114517212
2025-08-27T11:41:32,2025-08-27T11:41:35,3.5293688774108887
2025-08-27T11:41:52,2025-08-27T11:41:55,3.3922481536865234
2025-08-27T11:42:10,2025-08-27T11:42:14,3.570911169052124
2025-08-27T11:42:30,2025-08-27T11:42:33,3.722230911254883
2025-08-27T11:42:50,2025-08-27T11:42:53,3.73974084854126
2025-08-27T11:43:09,2025-08-27T11:43:13,3.6490478515625
2025-08-27T11:43:29,2025-08-27T11:43:32,3.545567989349365
2025-08-27T11:43:49,2025-08-27T11:43:52,3.5498900413513184
2025-08-27T11:44:08,2025-08-27T11:44:12,3.5797011852264404
2025-08-27T11:44:29,2025-08-27T11:44:32,3.415837049484253
2025-08-27T11:44:48,2025-08-27T11:44:52,3.632076978683472
2025-08-27T11:45:08,2025-08-27T11:45:12,3.434777021408081
2025-08-27T11:45:29,2025-08-27T11:45:32,3.5806469917297363
2025-08-27T11:45:49,2025-08-27T11:45:53,3.759144067764282
2025-08-27T11:46:09,2025-08-27T11:46:13,3.5095582008361816
2025-08-27T11:46:29,2025-08-27T11:46:32,3.47225308418274
2025-08-27T11:46:49,2025-08-27T11:46:52,3.615257024765015
2025-08-27T11:47:09,2025-08-27T11:47:13,3.529036045074463
2025-08-27T11:47:28,2025-08-27T11:47:32,3.5734219551086426
2025-08-27T11:47:48,2025-08-27T11:47:52,3.595674991607666
2025-08-27T11:48:08,2025-08-27T11:48:12,3.725127935409546
2025-08-27T11:48:28,2025-08-27T11:48:31,3.4080379009246826
