start,end,elapsed
2024-04-23T01:27:51,2024-04-23T01:27:51,0.0057551860809326
2024-04-23T01:28:03,2024-04-23T01:28:03,0.0053949356079101
2024-04-23T01:28:15,2024-04-23T01:28:15,0.0055890083312988
2024-04-23T01:28:26,2024-04-23T01:28:26,0.0057649612426757
2024-04-23T01:28:37,2024-04-23T01:28:37,0.0055670738220214
2024-04-23T01:28:51,2024-04-23T01:28:51,0.0069420337677001
2024-04-23T01:29:02,2024-04-23T01:29:02,0.0052709579467773
2024-04-23T01:29:14,2024-04-23T01:29:14,0.0075001716613769
2024-04-23T01:29:26,2024-04-23T01:29:26,0.0069859027862548
2024-04-23T01:29:37,2024-04-23T01:29:37,0.0064949989318847
2024-04-23T01:29:49,2024-04-23T01:29:49,0.0073499679565429
2024-04-23T01:30:02,2024-04-23T01:30:02,0.0056462287902832
2024-04-23T01:30:14,2024-04-23T01:30:14,0.0058379173278808
2024-04-23T01:30:26,2024-04-23T01:30:26,0.0053381919860839
2024-04-23T01:30:38,2024-04-23T01:30:38,0.0056979656219482
2024-04-23T01:30:50,2024-04-23T01:30:50,0.0057690143585205
2024-04-23T01:31:02,2024-04-23T01:31:02,0.0055928230285644
2024-04-23T01:31:13,2024-04-23T01:31:13,0.0055251121520996
2024-04-23T01:31:26,2024-04-23T01:31:26,0.0070970058441162
2024-04-23T01:31:38,2024-04-23T01:31:38,0.0054199695587158
2024-04-23T01:31:53,2024-04-23T01:31:53,0.0052840709686279
2024-04-23T01:32:04,2024-04-23T01:32:04,0.005415916442871
2024-04-23T01:32:15,2024-04-23T01:32:15,0.0055580139160156
2024-04-23T01:32:26,2024-04-23T01:32:26,0.0065767765045166
2024-04-23T01:32:38,2024-04-23T01:32:38,0.0054078102111816
2024-04-23T01:32:49,2024-04-23T01:32:49,0.0057029724121093
2024-04-23T01:33:01,2024-04-23T01:33:01,0.0054881572723388
2024-04-23T01:33:12,2024-04-23T01:33:12,0.0056238174438476
2024-04-23T01:33:24,2024-04-23T01:33:24,0.0053060054779052
2024-04-23T01:33:35,2024-04-23T01:33:35,0.0053949356079101
2024-04-23T01:33:47,2024-04-23T01:33:47,0.0057401657104492
2024-04-23T01:33:59,2024-04-23T01:33:59,0.0055849552154541
2024-04-23T01:34:10,2024-04-23T01:34:10,0.0067830085754394
2024-04-23T01:34:24,2024-04-23T01:34:24,0.0059058666229248
2024-04-23T01:34:35,2024-04-23T01:34:35,0.0056889057159423
2024-04-23T01:34:50,2024-04-23T01:34:50,0.0053300857543945
2024-04-23T01:35:01,2024-04-23T01:35:01,0.0058519840240478
2024-04-23T01:35:12,2024-04-23T01:35:12,0.0057630538940429
2024-04-23T01:35:24,2024-04-23T01:35:24,0.0055761337280273
2024-04-23T01:35:36,2024-04-23T01:35:36,0.0054340362548828
2024-04-23T01:35:47,2024-04-23T01:35:47,0.0055460929870605
2024-04-23T01:35:59,2024-04-23T01:35:59,0.0056240558624267
2024-04-23T01:36:11,2024-04-23T01:36:11,0.005321979522705
2024-04-23T01:36:23,2024-04-23T01:36:23,0.0055561065673828
2024-04-23T01:36:35,2024-04-23T01:36:35,0.0053589344024658
2024-04-23T01:36:47,2024-04-23T01:36:47,0.0060040950775146
2024-04-23T01:36:58,2024-04-23T01:36:58,0.0053369998931884
2024-04-23T01:37:10,2024-04-23T01:37:10,0.0053639411926269
2024-04-23T01:37:21,2024-04-23T01:37:21,0.0054309368133544
2024-04-23T01:37:34,2024-04-23T01:37:34,0.005354881286621
2024-04-23T01:37:46,2024-04-23T01:37:46,0.005735158920288
2024-04-23T01:37:58,2024-04-23T01:37:58,0.0059900283813476
2024-04-23T01:38:12,2024-04-23T01:38:12,0.0060122013092041
2024-04-23T01:38:23,2024-04-23T01:38:23,0.0053038597106933
2024-04-23T01:38:35,2024-04-23T01:38:35,0.0058550834655761
2024-04-23T01:38:47,2024-04-23T01:38:47,0.0060980319976806
2024-04-23T01:39:00,2024-04-23T01:39:00,0.0073349475860595
2024-04-23T01:39:12,2024-04-23T01:39:12,0.007112979888916
2024-04-23T01:39:24,2024-04-23T01:39:24,0.0080559253692626
2024-04-23T01:39:36,2024-04-23T01:39:36,0.0053241252899169
2024-04-23T01:39:48,2024-04-23T01:39:48,0.0056290626525878
2024-04-23T01:40:00,2024-04-23T01:40:00,0.0070679187774658
2024-04-23T01:40:12,2024-04-23T01:40:13,0.0053319931030273
2024-04-23T01:40:24,2024-04-23T01:40:24,0.005537986755371
2024-04-23T01:40:38,2024-04-23T01:40:38,0.005256175994873
2024-04-23T01:40:52,2024-04-23T01:40:52,0.0053091049194335
2024-04-23T01:41:03,2024-04-23T01:41:03,0.0061509609222412
2024-04-23T01:41:16,2024-04-23T01:41:16,0.005368947982788
2024-04-23T01:41:27,2024-04-23T01:41:27,0.0058012008666992
2024-04-23T01:41:39,2024-04-23T01:41:39,0.006152868270874
2024-04-23T01:41:51,2024-04-23T01:41:51,0.0055940151214599
2024-04-23T01:42:03,2024-04-23T01:42:03,0.0056099891662597
2024-04-23T01:42:16,2024-04-23T01:42:16,0.005721092224121
2024-04-23T01:42:28,2024-04-23T01:42:28,0.0062880516052246
2024-04-23T01:42:40,2024-04-23T01:42:40,0.0053691864013671
2024-04-23T01:42:54,2024-04-23T01:42:54,0.0057668685913085
2024-04-23T01:43:06,2024-04-23T01:43:06,0.0056428909301757
2024-04-23T01:43:18,2024-04-23T01:43:18,0.0057258605957031
2024-04-23T01:43:31,2024-04-23T01:43:31,0.0056169033050537
2024-04-23T01:43:43,2024-04-23T01:43:43,0.0063498020172119
2024-04-23T01:43:55,2024-04-23T01:43:55,0.0062677860260009
2024-04-23T01:44:06,2024-04-23T01:44:06,0.0053808689117431
2024-04-23T01:44:20,2024-04-23T01:44:20,0.0056650638580322
2024-04-23T01:44:32,2024-04-23T01:44:32,0.0053629875183105
2024-04-23T01:44:46,2024-04-23T01:44:46,0.0055010318756103
2024-04-23T01:44:57,2024-04-23T01:44:57,0.0054929256439208
2024-04-23T01:45:09,2024-04-23T01:45:09,0.0056979656219482
2024-04-23T01:45:23,2024-04-23T01:45:23,0.0055179595947265
2024-04-23T01:45:34,2024-04-23T01:45:34,0.005660057067871
2024-04-23T01:45:46,2024-04-23T01:45:46,0.005303144454956
2024-04-23T01:45:58,2024-04-23T01:45:58,0.0055699348449707
2024-04-23T01:46:10,2024-04-23T01:46:10,0.0059709548950195
2024-04-23T01:46:25,2024-04-23T01:46:25,0.0053160190582275
2024-04-23T01:46:38,2024-04-23T01:46:38,0.0057268142700195
2024-04-23T01:46:50,2024-04-23T01:46:50,0.0052599906921386
2024-04-23T01:47:04,2024-04-23T01:47:04,0.0059578418731689
2024-04-23T01:47:16,2024-04-23T01:47:16,0.0054020881652832
2024-04-23T01:47:28,2024-04-23T01:47:28,0.0060880184173583
2024-04-23T01:47:40,2024-04-23T01:47:40,0.0054049491882324
2024-04-23T01:47:52,2024-04-23T01:47:52,0.005418062210083008
